symbol,date,revenue_cagr,profit_cagr,roce,roe,debt_to_equity,dividend_yield,pe_ratio,pb_ratio,peg_ratio,operating_cash_flow,interest_coverage,margin_trend,net_profit,historical_pe_median
MRF.NS,2023-01-31,12.0,16.0,18.0,22.0,0.5,1.2,33.6751,9.621457142857142,2.10469375,1200000000,6.5,Improving,8000000000,31.991345
MRF.NS,2023-05-01,12.22,16.22,18.1,22.1,0.47,1.28,33.6751,9.621457142857142,2.10469375,1250000000,6.65,Improving,8300000000,31.991345
MRF.NS,2023-07-30,12.44,16.44,18.2,22.2,0.44,1.3599999999999999,33.6751,9.621457142857142,2.10469375,1300000000,6.8,Improving,8600000000,31.991345
MRF.NS,2023-10-28,12.66,16.66,18.3,22.3,0.41000000000000003,1.44,33.6751,9.621457142857142,2.10469375,1350000000,6.95,Improving,8900000000,31.991345
MRF.NS,2024-01-26,12.88,16.88,18.4,22.4,0.38,1.52,33.6751,9.621457142857142,2.10469375,1400000000,7.1,Improving,9200000000,31.991345
MRF.NS,2024-04-25,13.1,17.1,18.5,22.5,0.35,1.6,33.6751,9.621457142857142,2.10469375,1450000000,7.25,Improving,9500000000,31.991345
MRF.NS,2024-07-24,13.32,17.32,18.6,22.6,0.32,1.68,33.6751,9.621457142857142,2.10469375,1500000000,7.4,Stable,9800000000,31.991345
MRF.NS,2024-10-22,13.54,17.54,18.7,22.7,0.29000000000000004,1.76,33.6751,9.621457142857142,2.10469375,1550000000,7.55,Stable,10100000000,31.991345
MRF.NS,2025-01-20,13.76,17.76,18.8,22.8,0.26,1.8399999999999999,33.6751,9.621457142857142,2.10469375,1600000000,7.7,Stable,10400000000,31.991345
MRF.NS,2025-04-20,13.98,17.98,18.9,22.9,0.22999999999999998,1.92,33.6751,9.621457142857142,2.10469375,1650000000,7.85,Stable,10700000000,31.991345
MRF.NS,2025-07-19,14.2,18.2,19.0,23.0,0.2,2.0,33.6751,9.621457142857142,2.10469375,1700000000,8.0,Stable,11000000000,31.991345
MRF.NS,2025-10-17,14.42,18.42,19.1,23.1,0.17000000000000004,2.08,33.6751,9.621457142857142,2.10469375,1750000000,8.15,Stable,11300000000,31.991345
