symbol,date,revenue_cagr,profit_cagr,roce,roe,debt_to_equity,dividend_yield,pe_ratio,pb_ratio,peg_ratio,operating_cash_flow,interest_coverage,margin_trend,net_profit,historical_pe_median
HUDCO.NS,2023-01-31,15.0,20.0,13.0,15.0,1.5,2.0,15.435311,5.512611071428572,0.77176555,600000000,4.0,Improving,2500000000,14.663545449999999
HUDCO.NS,2023-05-01,15.18,20.18,13.09,15.09,1.43,2.13,15.435311,5.512611071428572,0.77176555,630000000,4.13,Improving,2600000000,14.663545449999999
HUDCO.NS,2023-07-30,15.36,20.36,13.18,15.18,1.3599999999999999,2.26,15.435311,5.512611071428572,0.77176555,660000000,4.26,Improving,2700000000,14.663545449999999
HUDCO.NS,2023-10-28,15.54,20.54,13.27,15.27,1.29,2.39,15.435311,5.512611071428572,0.77176555,690000000,4.39,Improving,2800000000,14.663545449999999
HUDCO.NS,2024-01-26,15.72,20.72,13.36,15.36,1.22,2.52,15.435311,5.512611071428572,0.77176555,720000000,4.52,Improving,2900000000,14.663545449999999
HUDCO.NS,2024-04-25,15.9,20.9,13.45,15.45,1.15,2.65,15.435311,5.512611071428572,0.77176555,750000000,4.65,Improving,3000000000,14.663545449999999
HUDCO.NS,2024-07-24,16.08,21.08,13.54,15.54,1.08,2.7800000000000002,15.435311,5.512611071428572,0.77176555,780000000,4.78,Stable,3100000000,14.663545449999999
HUDCO.NS,2024-10-22,16.26,21.26,13.63,15.63,1.01,2.91,15.435311,5.512611071428572,0.77176555,810000000,4.91,Stable,3200000000,14.663545449999999
HUDCO.NS,2025-01-20,16.44,21.44,13.72,15.72,0.94,3.04,15.435311,5.512611071428572,0.77176555,840000000,5.04,Stable,3300000000,14.663545449999999
HUDCO.NS,2025-04-20,16.62,21.62,13.81,15.81,0.8699999999999999,3.17,15.435311,5.512611071428572,0.77176555,870000000,5.17,Stable,3400000000,14.663545449999999
HUDCO.NS,2025-07-19,16.8,21.8,13.9,15.9,0.7999999999999999,3.3,15.435311,5.512611071428572,0.77176555,900000000,5.3,Stable,3500000000,14.663545449999999
HUDCO.NS,2025-10-17,16.98,21.98,13.99,15.99,0.73,3.43,15.435311,5.512611071428572,0.77176555,930000000,5.43,Stable,3600000000,14.663545449999999
