symbol,date,revenue_cagr,profit_cagr,roce,roe,debt_to_equity,dividend_yield,pe_ratio,pb_ratio,peg_ratio,operating_cash_flow,interest_coverage,margin_trend,net_profit,historical_pe_median
HCC.NS,2023-01-31,14.0,18.0,14.0,16.0,1.2,2.5,25.914286,8.638095333333334,1.4396825555555557,800000000,4.5,Improving,3000000000,24.6185717
HCC.NS,2023-05-01,14.15,18.15,14.08,16.08,1.14,2.62,25.914286,8.638095333333334,1.4396825555555557,835000000,4.62,Improving,3120000000,24.6185717
HCC.NS,2023-07-30,14.3,18.3,14.16,16.16,1.08,2.74,25.914286,8.638095333333334,1.4396825555555557,870000000,4.74,Improving,3240000000,24.6185717
HCC.NS,2023-10-28,14.45,18.45,14.24,16.24,1.02,2.86,25.914286,8.638095333333334,1.4396825555555557,905000000,4.86,Improving,3360000000,24.6185717
HCC.NS,2024-01-26,14.6,18.6,14.32,16.32,0.96,2.98,25.914286,8.638095333333334,1.4396825555555557,940000000,4.98,Improving,3480000000,24.6185717
HCC.NS,2024-04-25,14.75,18.75,14.4,16.4,0.8999999999999999,3.1,25.914286,8.638095333333334,1.4396825555555557,975000000,5.1,Improving,3600000000,24.6185717
HCC.NS,2024-07-24,14.9,18.9,14.48,16.48,0.84,3.2199999999999998,25.914286,8.638095333333334,1.4396825555555557,1010000000,5.22,Stable,3720000000,24.6185717
HCC.NS,2024-10-22,15.05,19.05,14.56,16.56,0.78,3.34,25.914286,8.638095333333334,1.4396825555555557,1045000000,5.34,Stable,3840000000,24.6185717
HCC.NS,2025-01-20,15.2,19.2,14.64,16.64,0.72,3.46,25.914286,8.638095333333334,1.4396825555555557,1080000000,5.46,Stable,3960000000,24.6185717
HCC.NS,2025-04-20,15.35,19.35,14.72,16.72,0.6599999999999999,3.58,25.914286,8.638095333333334,1.4396825555555557,1115000000,5.58,Stable,4080000000,24.6185717
HCC.NS,2025-07-19,15.5,19.5,14.8,16.8,0.6,3.7,25.914286,8.638095333333334,1.4396825555555557,1150000000,5.7,Stable,4200000000,24.6185717
HCC.NS,2025-10-17,15.65,19.65,14.88,16.88,0.54,3.82,25.914286,8.638095333333334,1.4396825555555557,1185000000,5.82,Stable,4320000000,24.6185717
